ensembl_transcript_id	external_gene_name
ENST00000820403	
ENST00000820404	
ENST00000820405	
ENST00000820406	
ENST00000820407	
ENST00000820408	
ENST00000820409	
ENST00000820410	
ENST00000820411	
ENST00000820412	
ENST00000820413	
ENST00000820414	
ENST00000820415	
ENST00000820416	
ENST00000820417	
ENST00000820418	
ENST00000820419	
ENST00000820420	
ENST00000820421	
ENST00000820422	
ENST00000820423	
ENST00000820424	
ENST00000820425	
ENST00000820426	
ENST00000820427	
ENST00000820428	
ENST00000820429	
ENST00000820430	
ENST00000820431	
ENST00000820432	
ENST00000820433	
ENST00000820434	
ENST00000820435	
ENST00000820436	
ENST00000820437	
ENST00000820438	
ENST00000820439	
ENST00000820440	
ENST00000820441	
ENST00000820442	
ENST00000618679	Y_RNA
ENST00000612465	
ENST00000616468	U6
ENST00000811524	
ENST00000758506	
ENST00000758507	
ENST00000758508	
ENST00000758509	
ENST00000758510	
ENST00000758511	
ENST00000758512	
ENST00000731702	
ENST00000796966	
ENST00000797498	
ENST00000797499	
ENST00000797500	
ENST00000797501	
ENST00000797502	
ENST00000797503	
ENST00000797504	
ENST00000797505	
ENST00000797506	
ENST00000797507	
ENST00000797508	
ENST00000797509	
ENST00000797510	
ENST00000797511	
ENST00000797512	
ENST00000797513	
ENST00000797514	
ENST00000797515	
ENST00000797516	
ENST00000797517	
ENST00000797518	
ENST00000797519	
ENST00000797520	
ENST00000797521	
ENST00000797522	
ENST00000797523	
ENST00000797524	
ENST00000797525	
ENST00000797526	
ENST00000797527	
ENST00000797528	
ENST00000797529	
ENST00000797530	
ENST00000797531	
ENST00000797532	
ENST00000613204	
ENST00000617983	
ENST00000745172	
ENST00000745173	
ENST00000745174	
ENST00000745175	
ENST00000745176	
ENST00000745177	
ENST00000748908	
ENST00000752906	
ENST00000752907	
ENST00000752908	
ENST00000752909	
ENST00000752910	
ENST00000752911	
ENST00000752912	
ENST00000752913	
ENST00000752914	
ENST00000752915	
ENST00000752916	
ENST00000752917	
ENST00000752918	
ENST00000835512	
ENST00000776511	
ENST00000776512	
ENST00000796777	
ENST00000809737	
ENST00000839746	
ENST00000768677	
ENST00000758018	
ENST00000758019	
ENST00000758020	
ENST00000758021	
ENST00000758022	
ENST00000768746	
ENST00000795909	
ENST00000795910	
ENST00000795911	
ENST00000795912	
ENST00000774500	
ENST00000826472	
ENST00000826473	
ENST00000826474	
ENST00000826475	
ENST00000837539	
ENST00000837540	
ENST00000837541	
ENST00000837542	
ENST00000837543	
ENST00000837544	
ENST00000837545	
ENST00000822099	
ENST00000779919	
ENST00000779920	
ENST00000779921	
ENST00000779922	
ENST00000779923	
ENST00000779924	
ENST00000779925	
ENST00000838297	
ENST00000823175	
ENST00000823176	
ENST00000823177	
ENST00000823178	
ENST00000823179	
ENST00000823180	
ENST00000823181	
ENST00000823182	
ENST00000823183	
ENST00000823184	
ENST00000823185	
ENST00000823186	
ENST00000823187	
ENST00000823188	
ENST00000823189	
ENST00000823190	
ENST00000823191	
ENST00000823192	
ENST00000727716	
ENST00000727717	
ENST00000727718	
ENST00000727719	
ENST00000727720	
ENST00000727721	
ENST00000780022	
ENST00000839739	
ENST00000848702	
ENST00000848703	
ENST00000792413	
ENST00000792414	
ENST00000792415	
ENST00000792416	
ENST00000792417	
ENST00000792418	
ENST00000792419	
ENST00000792420	
ENST00000792421	
ENST00000792422	
ENST00000792423	
ENST00000792424	
ENST00000792425	
ENST00000792426	
ENST00000792427	
ENST00000792428	
ENST00000792429	
ENST00000792430	
ENST00000792431	
ENST00000792432	
ENST00000792433	
ENST00000792434	
ENST00000792435	
ENST00000792436	
ENST00000792437	
ENST00000792438	
ENST00000792439	
ENST00000792440	
ENST00000792441	
ENST00000792442	
ENST00000792443	
ENST00000792444	
ENST00000792445	
ENST00000792446	
ENST00000792447	
ENST00000792448	
ENST00000792449	
ENST00000792450	
ENST00000792451	
ENST00000792452	
ENST00000792453	
ENST00000792454	
ENST00000792455	
ENST00000792456	
ENST00000792457	
ENST00000792458	
ENST00000792459	
ENST00000792460	
ENST00000792461	
ENST00000792462	
ENST00000792463	
ENST00000792464	
ENST00000792465	
ENST00000792466	
ENST00000792467	
ENST00000792468	
ENST00000792469	
ENST00000792470	
ENST00000792471	
ENST00000792472	
ENST00000792473	
ENST00000792474	
ENST00000792475	
ENST00000792476	
ENST00000792477	
ENST00000792478	
ENST00000792479	
ENST00000792480	
ENST00000792481	
ENST00000792482	
ENST00000792483	
ENST00000792484	
ENST00000792485	
ENST00000792486	
ENST00000792487	
ENST00000792488	
ENST00000792489	
ENST00000792490	
ENST00000797768	
ENST00000797914	
ENST00000797915	
ENST00000823333	
ENST00000823334	
ENST00000823335	
ENST00000823336	
ENST00000823337	
ENST00000823338	
ENST00000823339	
ENST00000823340	
ENST00000823341	
ENST00000823342	
ENST00000798064	
ENST00000614351	
ENST00000849220	
ENST00000617089	
ENST00000832155	
ENST00000832156	
ENST00000832157	
ENST00000832158	
ENST00000832159	
ENST00000832160	
ENST00000832161	
ENST00000832162	
ENST00000832163	
ENST00000832164	
ENST00000832165	
ENST00000832166	
ENST00000832167	
ENST00000832168	
ENST00000832169	
ENST00000832170	
ENST00000832171	
ENST00000832172	
ENST00000832173	
ENST00000832174	
ENST00000832175	
ENST00000832176	
ENST00000832177	
ENST00000832178	
ENST00000832179	
ENST00000832180	
ENST00000832181	
ENST00000832182	
ENST00000832183	
ENST00000832184	
ENST00000832185	
ENST00000832186	
ENST00000832187	
ENST00000832188	
ENST00000832189	
ENST00000832190	
ENST00000832191	
ENST00000832192	
ENST00000832193	
ENST00000832194	
ENST00000832195	
ENST00000832196	
ENST00000832197	
ENST00000832198	
ENST00000832199	
ENST00000832200	
ENST00000832201	
ENST00000832202	
ENST00000832203	
ENST00000832204	
ENST00000832205	
ENST00000832206	
ENST00000832207	
ENST00000832208	
ENST00000832209	
ENST00000832210	
ENST00000832211	
ENST00000832212	
ENST00000832213	
ENST00000832214	
ENST00000832215	
ENST00000832216	
ENST00000832217	
ENST00000832218	
ENST00000832219	
ENST00000832220	
ENST00000832221	
ENST00000832222	
ENST00000832223	
ENST00000832224	
ENST00000832225	
ENST00000832226	
ENST00000832227	
ENST00000832228	
ENST00000832229	
ENST00000832230	
ENST00000832231	
ENST00000832232	
ENST00000832233	
ENST00000832234	
ENST00000832235	
ENST00000832236	
ENST00000832237	
ENST00000832238	
ENST00000832239	
ENST00000832240	
ENST00000832241	
ENST00000832242	
ENST00000832243	
ENST00000832244	
ENST00000832245	
ENST00000832246	
ENST00000832247	
ENST00000832248	
ENST00000832249	
ENST00000832250	
ENST00000832251	
ENST00000832252	
ENST00000832253	
ENST00000832254	
ENST00000832255	
ENST00000832256	
ENST00000832257	
ENST00000832258	
ENST00000832259	
ENST00000832260	
ENST00000832261	
ENST00000832262	
ENST00000832263	
ENST00000832264	
ENST00000832265	
ENST00000832266	
ENST00000832267	
ENST00000832268	
ENST00000832269	
ENST00000832270	
ENST00000832271	
ENST00000832272	
ENST00000832273	
ENST00000832274	
ENST00000832275	
ENST00000832276	
ENST00000832277	
ENST00000832278	
ENST00000832279	
ENST00000832280	
ENST00000832281	
ENST00000832282	
ENST00000832283	
ENST00000832284	
ENST00000832285	
ENST00000832286	
ENST00000832287	
ENST00000832288	
ENST00000832289	
ENST00000832290	
ENST00000832291	
ENST00000832292	
ENST00000832293	
ENST00000832294	
ENST00000832295	
ENST00000832296	
